_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
49,1.36103,0,3195.732969604,1.12708,49,0.99942,0.15502,0.27554,1.47601,1.03783,1784785972.6045802
50,1.36218,0,3257.83987332,1.12889,50,0.99984,0.16005,0.28245,1.48018,1.02857,1784786034.9011347
51,1.3588,0,3320.085726682,1.11975,51,1.00085,0.1599,0.28262,1.47471,1.02743,1784786097.008113
52,1.35838,0,3382.490906476,1.10667,52,1.00019,0.15961,0.28247,1.45672,1.01881,1784786159.2539399
53,1.35588,0,3444.769043623,1.10652,53,0.99951,0.16001,0.28301,1.45748,1.02207,1784786221.6591587
54,1.35217,0,3506.921230679,1.10739,54,0.99965,0.15899,0.28045,1.46973,1.01796,1784786283.93734
55,1.35139,0,3569.029316491,1.09866,55,1.0,0.16134,0.28288,1.45622,1.0179,1784786346.0893984
56,1.34609,0,3631.569243772,1.09824,56,1.00014,0.16286,0.28642,1.44798,1.01189,1784786408.1976285
57,1.34592,0,3694.22452461,1.09693,57,0.99998,0.16558,0.29131,1.45307,1.00943,1784786470.737493
58,1.34264,0,3756.703592129,1.09565,58,1.00058,0.16652,0.29085,1.44595,1.00526,1784786533.392777
59,1.34035,0,3819.194881942,1.08903,59,0.99975,0.16679,0.29236,1.45256,1.00306,1784786595.871904
60,1.34034,0,3881.5323139,1.08344,60,0.99992,0.16505,0.29018,1.44202,1.00487,1784786658.3632784
61,1.33449,0,3943.514111656,1.08743,61,0.99986,0.16794,0.29466,1.44241,0.99816,1784786720.7004986
62,1.33643,0,4005.739592493,1.07869,62,1.00053,0.16728,0.29272,1.4422,1.00149,1784786782.6823921
63,1.32936,0,4068.156466817,1.08115,63,0.99958,0.16883,0.29415,1.44119,0.99555,1784786844.9078457
64,1.33218,0,4130.540539759,1.08018,64,0.99975,0.16914,0.29421,1.44069,0.99853,1784786907.3247333
65,1.33873,0,4192.848894372,1.07942,65,1.00038,0.17028,0.29703,1.43828,1.00099,1784786969.7088492
66,1.35547,0,4255.250511646,1.086,66,1.0,0.16994,0.29864,1.45084,1.01716,1784787032.01713
67,1.36574,0,4317.565937456,1.09754,67,0.99995,0.17146,0.30098,1.46302,1.02614,1784787094.4188747
68,1.36556,0,4379.743368886,1.09914,68,0.99954,0.17091,0.29665,1.46948,1.03166,1784787156.7341485
69,1.36287,0,4441.78404421,1.09957,69,0.99994,0.17302,0.30075,1.46294,1.03007,1784787218.9114146
70,1.36611,0,4504.003370347,1.1044,70,1.00058,0.17149,0.30038,1.4665,1.0342,1784787280.952305
71,1.36005,0,4566.259049555,1.09756,71,0.99944,0.17358,0.3041,1.46183,1.02499,1784787343.171645
