dataset,model,cfg,run_dir,dense_eval,epoch,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss
construction-ppe,v0.1-N,ultralytics/cfg/models/master/v0_1/det/yolo-master-n.yaml,runs/reproduce/ppe/construction-ppe_v0.1-N,n/a,200,0.77532,0.4644,0.51934,0.25215,1.50323,1.04815,1.73018,1.0009,1.89296,1.35096,2.14045,0
construction-ppe,EsMoE-N,ultralytics/cfg/models/master/v0/det/yolo-master-n.yaml,runs/reproduce/ppe/construction-ppe_EsMoE-N,False,,,,,,,,,,,,,
